txn_id,date,amount,currency,merchant,category,status,code
1032,2023-09-20,1803.68,GBP,Orchard and Vine,apparel,refunded,2
1972,2024-11-13,1645.96,USD,Kestrel Outfitters,,pending,2
2022,2024-03-01,4157.44,EUR,Delta Pharmacy,dining,paid,93
2915,2023-05-12,2646.17,USD,Trailhead Sports,fuel,pending,10
3734,2024-02-14,44.44,USD,Kestrel Outfitters,hardware,paid,58
3884,2023-01-11,2625.28,USD,Blue Harbor Goods,travel,chargeback,46
4159,2024-04-28,1068.17,EUR,Northwind Supply,dining,chargeback,96
4373,2023-01-26,4208.23,GBP,Delta Pharmacy,apparel,pending,1
5187,2023-06-04,3944.93,EUR,Café Norte,fuel,chargeback,88
5504,2024-02-11,4740.38,EUR,Petit Marché,dining,chargeback,10
6794,2023-07-31,4518.89,EUR,Blue Harbor Goods,grocery,pending,87
10187,2024-11-07,242.49,EUR,Orchard and Vine,dining,paid,82
13219,2024-05-23,482.84,GBP,Trailhead Sports,utilities,chargeback,97
13470,2024-08-13,760.36,GBP,Blue Harbor Goods,apparel,refunded,96
13697,2024-04-08,3007.41,EUR,Nordic Fjäll,travel,refunded,97
14303,2024-07-06,3069.47,USD,Delta Pharmacy,utilities,chargeback,45
14666,2024-07-28,4648.58,GBP,Delta Pharmacy,dining,refunded,4
16100,2023-10-19,2152.30,GBP,Statler Hardware,utilities,refunded,90
16474,2024-11-26,3941.43,GBP,Northwind Supply,apparel,pending,
16574,2023-07-11,881.37,EUR,Café Norte,apparel,chargeback,
17593,2023-03-23,627.02,GBP,Kestrel Outfitters,apparel,pending,25
17794,2023-02-17,664.36,USD,Northwind Supply,travel,pending,90
20330,2024-01-04,4717.20,EUR,Statler Hardware,fuel,chargeback,6
22036,2023-01-11,2129.12,EUR,Northwind Supply,utilities,refunded,85
22366,2024-10-27,3244.85,EUR,Café Norte,utilities,refunded,49
22495,2024-05-27,3527.89,EUR,Trailhead Sports,travel,pending,81
23194,2024-09-12,1044.07,USD,Café Norte,fuel,chargeback,25
24287,2024-07-04,2093.46,EUR,Vela Cycles,dining,refunded,59
25132,2024-02-13,970.92,USD,Nordic Fjäll,fuel,chargeback,
25425,2024-11-07,1308.58,GBP,Northwind Supply,dining,pending,99
26690,2024-06-02,42.37,GBP,Statler Hardware,fuel,pending,94
26834,2024-01-14,485.07,USD,Delta Pharmacy,hardware,chargeback,63
27535,2024-02-14,3012.58,USD,Vela Cycles,fuel,paid,27
28869,2024-07-11,2502.30,GBP,Vela Cycles,dining,refunded,
28996,2023-09-07,1739.48,USD,Trailhead Sports,fuel,pending,80
30508,2024-04-08,4195.34,GBP,Nordic Fjäll,,refunded,70
30968,2023-11-23,1860.50,USD,Fjord Interiors,utilities,paid,68
31027,2024-03-24,255.71,USD,Trailhead Sports,utilities,refunded,25
33309,2024-06-23,1846.61,GBP,Delta Pharmacy,grocery,paid,74
34643,2024-01-03,1527.36,USD,Petit Marché,apparel,refunded,35
34649,2024-11-20,4660.30,USD,Café Norte,,paid,68
36020,2024-07-10,4357.88,GBP,Orchard and Vine,hardware,chargeback,
36784,2024-09-16,4418.73,GBP,Blue Harbor Goods,grocery,pending,28
37346,2024-01-09,999.58,USD,Kestrel Outfitters,grocery,paid,87
37380,2024-07-19,902.57,GBP,Café Norte,dining,chargeback,86
38370,2023-06-01,2942.53,EUR,Orchard and Vine,,refunded,86
38806,2024-01-04,2032.03,GBP,Blue Harbor Goods,,paid,35
38932,2023-07-14,383.22,USD,Blue Harbor Goods,,paid,12
39209,2023-01-16,3463.46,GBP,Northwind Supply,utilities,pending,95
40870,2024-04-12,1088.02,USD,Orchard and Vine,apparel,chargeback,52
40905,2023-04-16,4781.71,GBP,Café Norte,,chargeback,94
41397,2024-09-22,3284.63,EUR,Northwind Supply,grocery,chargeback,21
42833,2024-11-26,1024.38,GBP,Fjord Interiors,dining,chargeback,58
44733,2023-03-27,3884.98,GBP,Delta Pharmacy,fuel,chargeback,22
45790,2024-01-29,3988.26,USD,Statler Hardware,fuel,refunded,68
47052,2023-02-21,118.12,EUR,Vela Cycles,hardware,pending,9
47613,2023-07-06,727.30,USD,Petit Marché,grocery,paid,90
49276,2023-03-23,1310.54,USD,Blue Harbor Goods,fuel,paid,82
49495,2023-07-15,1000.62,EUR,Nordic Fjäll,dining,pending,22
51151,2023-12-05,241.44,GBP,Northwind Supply,dining,refunded,50
52205,2023-09-20,2400.05,USD,Kestrel Outfitters,grocery,paid,61
52790,2024-02-08,81.83,USD,Northwind Supply,apparel,refunded,31
53042,2023-02-01,4763.46,GBP,Petit Marché,dining,refunded,59
54387,2024-05-15,2893.35,USD,Blue Harbor Goods,dining,paid,40
58391,2023-08-19,1895.77,GBP,Kestrel Outfitters,grocery,pending,21
59209,2023-02-28,1416.00,GBP,Café Norte,fuel,pending,81
59643,2023-04-13,4054.18,USD,Blue Harbor Goods,utilities,refunded,37
59840,2024-09-15,4082.07,GBP,Kestrel Outfitters,fuel,chargeback,80
59889,2023-03-16,4332.54,GBP,Café Norte,,chargeback,15
60143,2024-05-27,4138.79,EUR,Delta Pharmacy,grocery,pending,94
60377,2023-07-24,1873.70,EUR,Petit Marché,hardware,refunded,86
67932,2023-08-12,3832.28,GBP,Vela Cycles,dining,chargeback,66
68949,2023-07-18,864.55,GBP,Kestrel Outfitters,apparel,refunded,68
69278,2023-02-21,3210.90,USD,Petit Marché,fuel,chargeback,93
69577,2023-10-07,1151.63,EUR,Fjord Interiors,travel,pending,88
71443,2023-05-30,4540.30,EUR,Nordic Fjäll,dining,paid,
71583,2024-09-24,2469.41,EUR,Blue Harbor Goods,utilities,chargeback,31
71696,2024-08-16,3905.43,USD,Blue Harbor Goods,dining,paid,36
73097,2023-11-15,3871.57,GBP,Kestrel Outfitters,apparel,pending,50
75638,2024-02-03,2819.35,EUR,Kestrel Outfitters,hardware,pending,37
76225,2024-06-07,3565.73,GBP,Café Norte,grocery,refunded,69
76343,2024-07-13,4129.07,USD,Petit Marché,,pending,24
76713,2024-05-01,730.79,EUR,Trailhead Sports,grocery,chargeback,76
77139,2024-10-19,4435.44,GBP,Blue Harbor Goods,grocery,paid,16
78450,2023-06-07,941.32,GBP,Trailhead Sports,dining,refunded,
80720,2024-08-31,57.06,USD,Kestrel Outfitters,travel,refunded,3
81480,2023-01-15,4509.75,EUR,Vela Cycles,fuel,pending,
81564,2024-11-05,1198.49,GBP,Nordic Fjäll,travel,pending,61
82160,2023-08-07,2583.27,USD,Kestrel Outfitters,apparel,pending,97
83443,2023-09-25,1434.52,GBP,Statler Hardware,utilities,chargeback,90
83564,2024-07-13,3880.17,EUR,Northwind Supply,dining,refunded,98
83849,2023-08-01,666.80,EUR,Kestrel Outfitters,fuel,paid,38
