row_id,amount,vendor
1007,1.234,Northwind Supply
1014,2.345,Harborline Freight
1021,3.456,Quarry Stone Works
1028,4.567,Vela Cycles Depot
1035,5.678,Sunbelt Paper Mill
1042,6.789,Ridgeway Fasteners
1049,7.890,Coastal Fisheries Co
1056,8.901,Ironwood Timber Yard
1063,9.012,Fernbrook Nursery
1070,10.123,Ledgerstone Legal
1077,11.234,Aurora Print House
1084,12.345,Kestrel Instruments
1091,13.456,Marlow Ceramics
1098,14.567,Tandem Bicycle Shed
1105,15.678,Pinehurst Roofing
1112,16.789,Grainger Feed Store
1119,17.890,Beacon Optical Lab
1126,18.901,Threadbare Textiles
1133,19.012,Halcyon Glassworks
1140,20.123,Whitmore Cabinetry
