respondent_id	gender	satisfaction	comment	submitted	income	field3
2454	female	5	Onboarding was hard to follow which cost me an afternoon.	2023-12-02	138043.39	delta
5379	female	3	Support replied surprisingly straightforward though the packaging tore.	2024-11-07	127107.26	alpha
12506	male	2	Setup took well ahead of schedule so I upgraded the plan.	2023-05-18	70196.46	alpha
14930	male	5	Delivery arrived later than promised so no complaints here.	2023-02-04	146405.45	bravo
17155	prefer not to say	2	Delivery arrived about what I expected but I still had questions.	2023-08-18	90469.75	charlie
17473	male	4	Setup took later than promised and the price felt fair.	2023-04-21	85850.95	alpha
17885	prefer not to say	3	Support replied clear and unhurried though the packaging tore.	2023-01-07	77491.34	alpha
18675	female	2	Returns handling was roughly average though the packaging tore.	2023-05-17	129307.87	alpha
19312	nonbinary	5	Packaging was genuinely excellent so I upgraded the plan.	2022-06-26	32828.03	delta
25738	prefer not to say	5	Delivery arrived about what I expected and I would order again.	2023-04-25	67140.70	charlie
26834	male	3	The réservation well ahead of schedule so I upgraded the plan.	2023-05-07	96468.59	charlie
27302	male	4	Onboarding was genuinely excellent but I still had questions.	2024-11-04	134140.43	bravo
29131	male	3	The rÃ©servation later than promised and I would order again.	2024-11-01	127192.18	bravo
29357	male	4	The manual was later than promised but I still had questions.	2023-02-19	84978.58	delta
32225	prefer not to say	5	The manual was clear and unhurried and the price felt fair.	2023-02-04	85862.17	charlie
37764	male	5	Checkout felt later than promised which cost me an afternoon.	2024-09-03	47047.77	bravo
38103	prefer not to say		The réservation surprisingly straightforward and the price felt fair.	2023-10-02	117897.56	delta
44203	nonbinary	4	Setup took genuinely excellent which cost me an afternoon.	2024-02-17	128957.10	alpha
45264	female	2	Packaging was confusing in places though the packaging tore.	2022-10-08	64258.61	alpha
50284	nonbinary	4	Returns handling was better than last time so no complaints here.	2024-05-02	111316.54	alpha
50831	prefer not to say	3	Returns handling was surprisingly straightforward and support fixed it fast.	2022-10-01	52188.85	bravo
50887	male	1	Onboarding was hard to follow but the invoice was wrong.	2024-05-21	53602.93	bravo
52199	female	4	Checkout felt hard to follow so I upgraded the plan.	2024-07-22	99220.35	alpha
